isbn,average_rating,ratings_count,text_reviews_count
1841721476,4.08,8,2
030723827X,3.96,14103,74
1400052580,3.95,40125,217
307346587,4.09,8822,55
1400052386,4.09,3697,34
609609971,4.06,1426,16
1400052378,3.92,275,15
61234001,3.97,628745,13034
8466625127,3.97,193,23
61245135,3.97,98,5
399153594,4.27,189,25
156030209,3.91,4318,668
828808392,3.91,177,26
140285970,3.49,102,8
307276902,3.65,206011,10821
1411677315,3.56,43,6
61171468,3.41,201,24
787968331,4.05,873,40
446394599,4.14,5354,281
131494848,3.68,55,4
316861014,3.72,1820,147
60574216,3.55,132062,3303
60192771,3.62,18,1
006123205X,3.55,43,3
735200300,3.76,82,13
553381679,4.05,184418,4432
517542021,4.05,495,67
393324818,4.26,85094,4155
744005612,0,0,0
140280197,4.18,60946,3167
055338368X,4.42,21934,1629
553295411,4.07,16312,175
812590104,3.58,146,4
038551641X,3.96,3002,198
553381393,3.9,3422,157
553382047,3.76,2138,125
446691437,4,53653,4702
826413013,3.78,14,2
811701646,3.91,85,6
140442758,4.1,226,20
192802771,3.92,29,6
140449744,3.92,236,22
879756322,4.47,14,0
189031823X,4.5,26,4
872207889,4.06,154,4
801435307,4.35,18,1
872204626,3.85,28,7
140449043,3.95,8186,198
140449086,3.99,34727,597
140446389,3.99,227,18
879757779,3.99,2,0
192824252,3.99,271,41
140440348,3.99,143,17
393959465,3.99,40,5
375400613,3.99,132,10
226327701,3.99,36,6
140275363,3.86,288792,3423
872203522,3.86,1058,137
374529051,3.86,692,81
147712556,4.04,54939,380
140447946,3.86,1919,118
451527372,3.86,158,15
872205428,3.86,212,18
143039954,3.76,760871,6557
374525749,3.76,1713,179
60931957,3.76,1131,78
140449116,3.76,2543,167
451527364,3.76,262,24
086516584X,4.35,69,6
067499583X,4.22,414,10
1891190237,4.13,67,7
192837680,3.8,259,15
155832125X,3.94,55,0
141000589,4.5,578,25
517092948,4.5,62,6
521618746,4.02,609271,7139
1557831572,4.44,8159,118
006251279X,3.64,888,92
62513346,3.31,1204,79
60527986,3.7,22662,945
60832819,3.57,58917,2575
61122092,3.57,70760,2702
60930136,3.62,1415,68
61124265,3.7,132064,5452
140714545,4.02,1658,125
764586033,3.69,65,6
764585681,4.02,102,16
879232153,4.29,489,57
674991206,4.32,208,7
872201686,3.72,610,15
674991222,4.35,38,0
872203948,3.9,154,21
393971678,3.9,24,4
674991877,4.29,35,0
929524357,4.5,2,0
226307808,4.03,4483,56
226307840,4.21,3334,46
226307832,4.21,560,8
1590171802,4.4,679,85
553213636,4.17,1464,21
226307824,4,541,15
226307816,4.31,790,12
140449299,4.03,9197,120
674995600,4.23,61,4
521643864,3.87,201,9
140447261,4.14,164,8
195125983,3.88,154,13
413752801,3.78,9,0
486424626,3.63,34,4
393325830,3.86,116,6
192832603,4.1,158,2
674995333,4.26,27,5
195061667,3.83,1950,95
067499566X,4.47,30,4
195145666,3.87,367,35
071563187X,4.04,23,1
822004240,4.2,5,0
674995740,4.03,29,2
674996003,4.07,25,3
715629948,4.03,12,1
226307662,4.43,46,7
226307786,4.02,712,53
226307948,4.1,389,26
019513592X,4.02,77,7
140443339,4.02,28726,591
872203905,4.02,303,21
140441123,4.1,4303,62
374527059,4.02,215,25
081221627X,4.02,12,3
226307646,4.1,74,7
521539811,4.03,31,3
1400041929,4.02,63,8
812216717,4.1,12,2
486292428,4.02,89,8
1419150014,4.1,1,0
226307867,4.14,5032,36
451527844,4.27,2883,40
015602764X,3.97,45589,726
140444254,3.97,2979,288
872205851,3.97,109,7
679431322,3.97,52,3
140440283,4.14,135,9
1580495931,3.7,141555,1776
451621603,3.97,8,1
521617359,3.7,218,1
1416500332,3.7,740,57
452007178,4.06,6086,79
415907446,3.94,96,8
553213431,4.21,1998,33
812234561,3.83,4,0
872203611,3.77,1,0
140448144,3.95,3833,120
1585100870,3.42,23,1
199120099,3.75,13,2
674995376,4.07,69,10
140441522,3.94,391,27
156027658,4.03,14,2
674995961,4.21,58,4
822007762,2.8,5,0
198721595,4.07,14,3
451616227,3.85,19,2
198140819,3.6,262,13
872206033,3.85,30604,552
140443320,3.69,42,1
521774330,4.33,5,2
1400032717,3.88,1054308,35537
316156507,3.64,4067,357
743482778,3.98,138101,2513
743271327,3.94,24985,1751
142000280,3.99,105507,3838
1576751724,3.46,75,12
843392463X,4.17,240,30
8433968777,4.14,331,24
1862076650,3.76,69,12
8433924710,3.96,1279,77
8433924621,3.76,1098,65
321317106,2.83,0,0
321365208,3.5,0,0
8432216429,4.05,453,60
1565480848,3.92,142,24
679783199,3.92,104,16
1565481240,4.04,271,21
520227573,4.27,1643,97
24021504,4.03,2335,67
872201864,3.92,84,8
143035983,3.55,259,30
192854526,3.71,236,33
1565482018,3.94,29,3
